date,state,contact,age,gender,category_level2,category_level3,amount,no_of_reports
2023-09-01,NSW,Social media/Online forums,25 - 34,M,Buying or selling,False billing,800.0,2
2023-05-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,False billing,650.0,1
2023-12-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Health and medical products,1700.0,1
2023-05-01,VIC,Social media/Online forums,25 - 34,F,Buying or selling,Health and medical products,49.0,1
2023-01-01,NT,Social media/Online forums,25 - 34,M,Buying or selling,Overpayment scams,900.0,1
2023-01-01,OTHERS,Social media/Online forums,25 - 34,M,Buying or selling,Overpayment scams,300.0,1
2023-11-01,OTHERS,Social media/Online forums,25 - 34,F,Buying or selling,Overpayment scams,120.0,1
2023-05-01,SA,Social media/Online forums,25 - 34,M,Buying or selling,Overpayment scams,695.0,1
2023-02-01,QLD,Social media/Online forums,25 - 34,M,Buying or selling,Overpayment scams,600.0,1
2023-01-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Mobile premium services,680.0,1
2023-06-01,WA,Social media/Online forums,25 - 34,M,Buying or selling,Mobile premium services,300.0,1
2023-07-01,QLD,Social media/Online forums,25 - 34,F,Buying or selling,Mobile premium services,900.0,1
2023-01-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Psychic and clairvoyant,250.0,1
2023-06-01,OTHERS,Social media/Online forums,25 - 34,F,Buying or selling,Psychic and clairvoyant,1468.0,1
2023-06-01,OTHERS,Social media/Online forums,25 - 34,F,Buying or selling,Psychic and clairvoyant,0.0,1
2023-07-01,VIC,Social media/Online forums,25 - 34,F,Buying or selling,Psychic and clairvoyant,75.0,1
2023-09-01,NSW,Social media/Online forums,25 - 34,F,Buying or selling,Psychic and clairvoyant,3684.0,1
2023-04-01,SA,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Hacking,700.0,1
2023-02-01,VIC,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Hacking,420.0,1
2023-01-01,VIC,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Hacking,920.0,1
2023-04-01,NSW,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Hacking,1360.0,2
2023-09-01,NSW,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Hacking,110.0,1
2023-05-01,SA,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Identity theft,100.0,1
